Sample ID,Site,Date,Time,Time Zone,Type,Type2,Freezer bag #,UVM ICPOES prep date,Index-notes,ICPOES-notes-MED,Al_mg_L,Ba_mg_L,Ca_mg_L,Fe_mg_L,K_mg_L,Mg_mg_L,Mn_mg_L,Na_mg_L,P_mg_L,S_mg_L,Si_mg_L,Sr_mg_L,Zn_mg_L,Cu_mg_L,Cl_mg_L,IC-notes_MED,dD,d18O,NRS_LWIA_notes
RI24-1418,Wade,12/19/2023,11:00,EST,Snowmelt lysimeter,Endmember,,05/21/2024,Dry site lysimeter,DartmouthID_AS-061025-146,0.0093401889249047,0.0026757259571924,6.4216020367105,0.0055728464522506,1.10210458718038,2.0553962205514,0.0029486674679994,2.11030481776085,0.0161624150683374,0.366351292220491,1.60541992643776,0.0288768722897383,0.143110948700473,,2.958,Run 2025-07-21,-123.17,-17.298,
RI24-1419,Wade,12/19/2023,11:30,EST,Soil water lysimeter wet,Endmember,,05/21/2024,Wet site lysimeter,DartmouthID_AS-061025-152,0.456166801535497,0.0110697588532729,1.49180709707671,0.0541854801088563,0.572828264720966,0.2685030063957,0.0122652189596925,0.356769166134891,0.0277393435542943,0.81234649316421,1.27161193295264,0.0133558954313582,0.116163639862738,,3.177,Run 2025-07-21,-60.017,-9.172,
RI24-1420,Wade,12/19/2023,12:00,EST,Soil water lysimeter dry,Endmember,,05/21/2024,Dry site lysimeter,DartmouthID_AS-061025-162,0.736171147470417,0.0090682491491102,0.858941566800132,0.216255741046689,0.278540049787593,0.310526288452836,0.0100404181948112,0.361980813179073,0.007031472337809,0.682493684399541,1.06242959457586,0.0060975957285925,0.443365587890954,,3.041,Run 2025-07-21,-100.162,-14.696,
RI24-1415,Hungerford,12/20/2023,9:30,EST,Snowmelt lysimeter,Endmember,,05/21/2024,Wet site lysimeter,DartmouthID_AS-061025-157,0.0096198242074704,0.0029491797109797,4.70277981917326,0.0061298493596715,1.70404439561823,2.35433564653784,0.0016552155918288,11.812029731631,0.0339328508209458,0.312199161807893,1.4172924153914,0.0257779149491529,0.150548781570325,,4.043,Run 2025-06-05,-123.809,-17.231,
RI24-1416,Hungerford,12/20/2023,9:45,EST,Soil water lysimeter wet,Endmember,,05/21/2024,Wet site lysimeter,,,,,,,,,,,,,,,,5.064,Run 2025-07-21,-62.853,-9.877,
RI24-1422,Potash,01/08/2024,11:30,EST,Snow,Endmember,,05/21/2024,Spear St snow,DartmouthID_AS-061025-155,0.0033868279799188,-6.28615798278491E-05,0.177868934271168,0.0015683453854584,0.140769063967067,0.0129490201691071,0.0002078923357689,0.973774901411688,-0.0009534281396155,0.0592968715344052,-0.0044309645429649,0.0001152657436194,0.0407648970501766,,3.535,Run 2025-07-21,-150.36,-21.373,
RI24-1421,Wade,01/22/2024,10:45,EST,Snow,Endmember,,05/21/2024,Dry site snow and rain mix,DartmouthID_AS-061025-156,0.0093051249969749,0.0019774126565885,0.469660576142243,0.0036123483417132,0.274553333050017,0.0691221846133769,0.0080939093508421,0.347504942863083,0.0156683663230229,0.21775324654557,0.0113744674980154,0.001905797267995,0.427535219809367,,3.131,Run 2025-06-05,-93.003,-13.846,
RI24-1417,Hungerford,01/25/2024,11:00,EST,Snowmelt lysimeter,Endmember,,05/21/2024,Wet site lysimeter,DartmouthID_AS-061025-159,0.009286321725069,0.0071948680930558,10.5272144987431,0.0110533640451155,3.82262123793148,10.9752974071741,0.0077234344973359,8.3939332885478,0.0572067676038611,0.819163953291818,2.93561810180913,0.0756159820645211,0.214752077607589,,6.392,Run 2025-07-21,-86.159,-12.902,
RI24-1241,Wade,02/08/2024,12:00,EST,Isco,Stream,,03/28/2024,,UVM-Aglab_Replaced with 2nd run,-0.01,,13.625,0.38,0.777,1.625,0.411,1.466,-0.007,,1.796,,0.003,0.007,,,-84.083,-12.489,
RI24-1242,Wade,02/08/2024,15:00,EST,Isco,Stream,,03/28/2024,,UVM-Aglab_Replaced with 2nd run,0.001,,9.377,0.709,0.752,1.124,0.297,1.085,-0.003,,0.967,,0.011,0.009,,,,,
