Sample ID,Site,Date,Time,Type,Type2,Index-notes,ICP-notes,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,Fl_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,IC-notes,NRS_LWIA_notes,dD,d18O,iso-notes,TOC run date,TOC mg_L,TOC notes
ISO23-161,Hungerford,01/04/2023,12:00,Soil water lysimeter wet,Endmember,Wet Soil Lys,,,,,,,,,,,,,,,,,,,,,,-65.565,-9.298,Wet Soil Lys,,,
ISO23-164,Hungerford,01/24/2023,12:00,Baseflow,Endmember,,,,,,,,,,,,,,,,,,,,,,,-66.275,-9.682,,,,
ISO23-165,Wade,01/24/2023,12:00,Baseflow,Endmember,,,,,,,,,,,,,,,,,,,,,,,-76.707,-11.481,,,,
ISO23-163,Wade,01/25/2023,12:00,Snowmelt lysimeter,Endmember,,,,,,,,,,,,,,,,,,,,,,,-94.197,-13.792,"Data rubbed off of bottle, don't know type of lysimeter MED guessing SM",,,
RI23-1004,Hungerford,02/10/2023,4:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,,19.93285684,,,12.13270472,1.608650899,19.33643425,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-72.393,-10.536,,03/01/2023,4.82,
RI23-1005,Hungerford,02/10/2023,10:00,Grab/Isco,Stream,need to verify type,,0.05985216,0.036704559,0.000798254,-0.005531601,2.127724577,3.346318279,0.089466635,6.439820672,16.18550491,-0.052922472,43.3871675,0.001115392,25.14337379,0.794758979,,11.79256393,1.597841645,33.67334809,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-78.866,-11.598,,03/01/2023,5.34,
RI23-1006,Wade,02/10/2023,13:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,0.137212689,1.901304161,,,2.633325453,1.593012871,6.720393662,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-80.253,-12.024,,03/01/2023,2.33,
RI23-1007,Hungerford,02/10/2023,16:00,Grab/Isco,Stream,need to verify type,,0.082126397,0.033194773,0.002213523,-0.012900553,1.24524998,4.098671691,0.071499685,3.620690446,11.15168174,-0.016383218,22.33848448,0.045780175,16.50393641,0.794017159,,11.88205455,1.60265606,16.17502768,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-80.652,-11.977,,03/01/2023,6.12,
RI23-1008,Hungerford,02/11/2023,12:30,Grab/Isco,Stream,need to verify type,,0.074341045,0.017434733,0.00111115,-0.011289398,2.069521638,3.418112019,0.044272156,5.359727691,13.07524719,-0.036117375,34.73109392,0.219767087,19.9861589,,,17.57750099,,27.1699378,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-75.973,-11.294,,03/01/2023,5.47,
RI23-1009,Wade,02/15/2023,15:00,Grab/Isco,Stream,need to verify type,,-0.000368339,-0.013919312,0.000669407,0.087810647,1.348993671,0.06050381,-0.0430525,0.492410853,0.307739575,0.001906674,3.817650163,,1.958206135,,,2.365147881,,8.192964126,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-78.421,-11.844,,03/01/2023,1.95,
RI23-1010,Wade,02/15/2023,19:00,Grab/Isco,Stream,need to verify type,,0.015831472,-0.000334966,-0.001383981,0.084259266,1.297124953,0.251027006,-0.016190683,0.484988789,0.275805473,0.031647044,3.482074529,,1.969762242,,,2.337740572,,8.039079548,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-78.932,-11.876,,03/01/2023,1.83,
RI23-1011,Wade,02/15/2023,23:00,Grab/Isco,Stream,need to verify type,,0.015128181,-0.00022341,-0.001005024,0.06562293,1.252658832,0.267325425,-0.018118794,0.44223053,0.297100354,0.037399116,3.287053757,,1.928914173,,,2.370623019,1.60495193,7.654232692,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-79.978,-12.027,,03/01/2023,1.89,
RI23-1025,Wade,02/15/2023,12:00,Grab,Stream,need to verify type,,0.016031573,0.004307287,-0.001298871,0.074909673,1.327972174,0.239991482,-0.02314997,0.463008907,0.26890064,0.033283942,3.486294451,,,,,,,,,,-78.111,-11.784,,03/01/2023,1.58,
RI23-1026,Hungerford,02/15/2023,14:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,,36.0978,,,25.2192,1.6233,24.5824,There is no 33 - though there are 2 34s,,-71.186,-10.577,,03/01/2023,4.62,
RI23-5000,Wade,02/15/2023,12:00,Soil water lysimeter dry,Endmember,dry site,WD_lysmtr_021523,0.091445162,0.005409173,0.00021518,0.01622452,0.429856652,0.380634415,-0.03678504,0.396151045,-0.016981079,0.38854617,0.577446065,,1.923457692,,,4.33844694,1.589903809,2.869524728,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-93.641,-13.233,,03/01/2023,4.95,
RI23-5001,Hungerford,02/15/2023,12:00,Soil water lysimeter wet,Endmember,wet site,HF_wet_lysmtr_021523,0.09529109,0.000096409,-0.000284104,-0.003846345,1.878128524,0.59333239,-0.016290333,0.753155928,1.240985995,0.23388279,3.508331025,,3.04384406,,,9.087003229,1.603273102,6.460805047,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,,,,03/01/2023,3.76,
RI23-5002,Hungerford,02/15/2023,12:00,Snowmelt lysimeter,Endmember,,HF_snow_lysmtr_021523 duplicate,0.000298482,-0.002068926,0.000646314,0.004475379,6.780331804,0.394923806,0.042204473,4.262023065,3.591937815,-0.010027985,29.03969809,0.057106365,6.380104084,0.811890334,,4.96921924,,5.218622354,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-90.225,-13.668,Wet Site,03/01/2023,3.53,
