Sample ID,Site,Date,Time,Type,Type2,Index-notes,Cl_mg_L,SO4_mg_L,NO3_mg_L,PO4_mg_L,NRS_LWIA_notes,dD,d18O,Al_mg_L,Ca_mg_L,Cu_mg_L,Fe_mg_L,K_mg_L,Mg_mg_L,Mn_mg_L,Na_mg_L,P_mg_L,Zn_mg_L,Si_mg_L
RI22-0261,Wade,02/16/2022,12:00,Grab/Isco,Stream,MED cleaned date column,0.5376,3.1052,1.0663,,,-82.22,-11.96,0.34,4.24,0.09,0.03,0.49,0.68,0.04,0.57,0.11,0,1.88
RI22-0262,Wade,02/17/2022,12:30,Grab/Isco,Stream,MED cleaned date column,0.5729,2.9043,1.1116,,,-81.27,-12.15,0.02,4.55,0.01,0.03,0.57,0.71,0.03,0.63,0.08,-0.01,1.82
RI22-0265,Wade,02/17/2022,14:00,Isco,Stream,MED cleaned date column,0.5395,2.5329,1.0228,,,-82.69,-12.31,0.01,4.23,0.01,0.03,0.57,0.67,0.03,0.65,0.09,-0.01,0.81
RI22-0266,Wade,02/17/2022,16:00,Isco,Stream,MED cleaned date column,,,,,,-83.09,-12.32,0.02,3.69,0.01,0.02,0.39,0.59,0.03,0.52,0.07,-0.01,1.66
RI22-0267,Wade,02/17/2022,18:00,Isco,Stream,MED cleaned date column,0.8697,2.6577,1.1567,,,-84.11,-12.45,0.08,4.33,0.01,0.01,0.36,0.63,0.02,0.65,0.02,-0.01,0.74
RI22-0268,Wade,02/17/2022,20:00,Isco,Stream,MED cleaned date column,0.613,2.1868,1.3321,,,-85.46,-12.83,0.03,3.63,0.01,0.02,0.37,0.61,0.02,0.86,0.01,-0.01,1.47
RI22-0269,Wade,02/17/2022,22:00,Isco,Stream,MED cleaned date column,0.604,2.0036,1.4017,,,-88.59,-13.33,0.06,3.13,0.01,0.07,0.57,0.48,0.03,0.44,0.07,-0.01,0.74
RI22-0270,Wade,02/18/2022,0:00,Isco,Stream,MED cleaned date column,0.5732,1.6508,1.4044,,,-89.74,-13.17,0.08,2.49,0.01,0.05,0.58,0.39,0.03,0.35,0.07,0,0.09
RI22-0271,Wade,02/18/2022,2:00,Isco,Stream,MED cleaned date column,0.5524,1.445,1.5961,,,-90.39,-13.59,0.17,2.34,0.11,0.24,0.59,0.38,0.03,0.36,0.13,0.01,0.02
RI22-0272,Wade,02/18/2022,4:00,Isco,Stream,MED cleaned date column,0.7067,1.4236,1.8291,,,-91.31,-13.77,0.12,2.15,0.03,0.05,0.51,0.35,0.03,0.33,0.07,0,0.05
RI22-0273,Wade,02/18/2022,6:00,Isco,Stream,MED cleaned date column,0.5521,1.4731,1.9711,,,-90.16,-13.51,0.11,2.03,0.01,0.04,0.5,0.33,0.04,0.31,0.07,-0.01,0.07
