Sample ID,Site,Date,Time,Time Zone,Type,Type2,Isotope/ICP pick list #,Acidified for ICPOES? (Y or N),MED Index Notes,ICPOES-notes-MED,Al_mg_L,Ba_mg_L,Ca_mg_L,Fe_mg_L,K_mg_L,Mg_mg_L,Mn_mg_L,Na_mg_L,P_mg_L,S_mg_L,Si_mg_L,Sr_mg_L,Zn_mg_L,Cl_mg_L,IC-notes_MED,dD,d18O,NRS Lab Comments
RI25-1001,Potash,12/10/2024,9:00,EST,Isco,Stream,63,Y,MLG Missing GF/F sample currently.,AS-061025-001,0.0084813120576724,0.0404967946262349,61.7538883215326,0.0466860309182148,4.3598248629028,17.8337231970056,0.12084345512982,639.791978910096,0.042445148796202,8.01128187634236,6.82959749454639,0.275829473644338,0.0111037605625891,1097.026,Run 2025-10-06,-75.664,-11.09,
RI25-1002,Potash,12/10/2024,12:00,EST,Isco,Stream,,Y,MLG Missing GF/F sample currently.,,,,,,,,,,,,,,,,,,,
RI25-1003,Potash,12/10/2024,15:00,EST,Isco,Stream,,Y,MLG Missing GF/F sample currently.,,,,,,,,,,,,,,,,,,,
RI25-1004,Potash,12/10/2024,18:00,EST,Isco,Stream,64,Y,MLG Missing GF/F sample currently.,AS-061025-002,0.0046690290941562,0.0248055749424893,37.1959586147011,0.0290078188825495,4.14187046628259,17.5149720903207,0.0586635832732845,554.263622684027,0.0274000422755016,7.39807167696512,6.81881712139189,0.223650493828293,0.0067848302736902,1031.256,Run 2025-10-06,-76.422,-11.118,
RI25-1005,Potash,12/10/2024,21:00,EST,Isco,Stream,,Y,MLG Missing GF/F sample currently.,,,,,,,,,,,,,,,,,,,
RI25-1006,Potash,12/11/2024,0:00,EST,Isco,Stream,,Y,MLG Missing GF/F sample currently.,,,,,,,,,,,,,,,,,,,
RI25-1007,Potash,12/11/2024,3:00,EST,Isco,Stream,65,Y,MLG Missing GF/F sample currently.,AS-061025-003,0.0069490014528743,0.044194454540589,60.4707462672575,0.0404022809135643,4.81571260906495,17.1107247306016,0.143683463656691,773.13700576047,0.0426398744273803,8.58915738557787,6.56722531549508,0.272088822503595,0.0229625177688722,1314.974,Run 2025-10-06,,,
RI25-1008,Potash,12/11/2024,6:00,EST,Isco,Stream,,Y,MLG Missing GF/F sample currently.,,,,,,,,,,,,,,,,,,,
RI25-1009,Potash,12/11/2024,9:00,EST,Isco,Stream,,Y,MLG Missing GF/F sample currently.,,,,,,,,,,,,,,,,,,,
RI25-1010,Potash,12/11/2024,12:00,EST,Isco,Stream,66,Y,MLG Missing GF/F sample currently.,AS-061025-004,0.0152877976234755,0.0252220386673169,35.3361216611321,0.0407953196211524,3.19296076067641,12.3558642176126,0.0683358191827362,301.614506435845,0.0308072335701893,5.25216264479206,5.15749284178063,0.16616470785125,0.0315614800904542,511.23,Run 2025-10-06,-73.962,-11,
RI25-1011,Potash,12/11/2024,15:00,EST,Isco,Stream,67,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently.",AS-061025-005,0.0121306629955101,0.0300292970824706,30.6650685625433,0.0554197389623728,3.60201800907877,9.10139995426068,0.0925508695282801,151.354671195982,0.0428192144109874,3.56624212182308,4.37241766845611,0.122542121884955,0.0258504953173663,252.744,Run 2025-10-06,-74.252,-11.02,
RI25-1012,Potash,12/11/2024,18:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
