Sample ID,Site,Date,Time,Time Zone,Type,Type2,Isotope/ICP pick list #,Acidified for ICPOES? (Y or N),MED Index Notes,ICPOES-notes-MED,Al_mg_L,Ba_mg_L,Ca_mg_L,Fe_mg_L,K_mg_L,Mg_mg_L,Mn_mg_L,Na_mg_L,P_mg_L,S_mg_L,Si_mg_L,Sr_mg_L,Zn_mg_L,Cl_mg_L,IC-notes_MED,dD,d18O,NRS Lab Comments
RI25-1013,Potash,12/11/2024,21:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1014,Potash,12/12/2024,0:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1015,Potash,12/12/2024,3:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1016,Potash,12/12/2024,6:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1017,Potash,12/12/2024,9:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1018,Potash,12/12/2024,12:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1019,Potash,12/12/2024,15:00,EST,Isco,Stream,68,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently.",AS-061025-006,0.0350728992932442,0.01608167826827,30.046698685556,0.126698588146467,3.90213864150346,9.24888931935303,0.0637926101790694,68.6988251872306,0.0441424816199761,4.76316690126988,5.54029450716955,0.115551873409763,0.0180472797477962,113.129,Run 2025-10-06,-87.083,-12.566,
RI25-1020,Potash,12/12/2024,18:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1021,Potash,12/13/2024,12:00,EST,Grab,Stream,1,Y,"MED reading from Del freezer bag 02, assuming 1021 is grab. Missing GF/F sample currently.",AS-061025-007,0.0244856002210615,0.0187455011661208,39.1459240371241,0.11467630504117,3.76221597380372,12.7817923214079,0.0662226972759199,103.30980311195,0.0387314589810484,6.44630776137857,6.28017779291538,0.15425555285121,0.0067765876932121,168.58,Run 2025-10-06,-82.559,-11.902,
RI25-1022,Potash,12/28/2024,19:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1023,Potash,12/29/2024,1:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1024,Potash,12/29/2024,7:00,EST,Isco,Stream,69,Y,MED,AS-061025-008,0.0049935859190816,0.0299336586372625,53.3375364360996,0.0289517148317326,5.10841599592472,17.5280138216697,0.176125770650172,283.934919983705,0.0294757791606969,8.02642054593033,7.57392715441272,0.235019575872478,0.214101500810197,512.394,Run 2025-10-06,-73.68,-10.827,
RI25-1025,Potash,12/29/2024,13:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1026,Potash,12/29/2024,19:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1027,Potash,12/30/2024,1:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1028,Potash,12/30/2024,7:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1029,Potash,12/30/2024,13:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1030,Potash,12/30/2024,19:00,EST,Isco,Stream,70,Y,MED,AS-061025-009,0.0095581682896491,0.0187602927775057,35.4309992613574,0.0334674142153907,3.40271508035276,14.4357760253796,0.0636816506573585,169.346842140011,0.0231323177947707,6.29798861045839,6.51510660457787,0.156150108583438,0.0140231680713789,309.082,Run 2025-10-06,-77.762,-11.486,
RI25-1031,Wade,12/10/2024,11:30,EST,Grab,Stream,2,Y,SB,AS-061025-010,0.0194882353018257,0.0026334643953628,4.17096652404853,0.0227861923018845,0.22135954952634,0.61462181260168,0.0061837578983262,0.768364021910876,0.0072369397098752,1.14302160752592,4.07822848733765,0.0251869309415361,0.0159902771599385,,,-77.185,-11.686,
RI25-1032,Wade,12/11/2024,14:45,EST,Grab,Stream,,Y,SB,,,,,,,,,,,,,,,,,,,
RI25-1033,Hungerford,12/10/2024,18:00,EST,Baseflow,Endmember,71,Y,"MED reading from Del freezer bag 01, not sure sample type",AS-061025-011,0.0104884810746512,0.0198865760694454,53.1888916630217,0.0521556625622279,3.40306170328707,10.4075552890786,0.0667871118135,22.9455859683735,0.0336988133128507,8.73665802128005,7.13254710558054,0.259503540703184,0.0283190005295499,46.315,Run 2025-10-06,,,
RI25-1034,Hungerford,12/10/2024,21:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 01, not sure sample type",,,,,,,,,,,,,,,,,,,
RI25-1035,Hungerford,12/11/2024,0:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 01, not sure sample type",,,,,,,,,,,,,,,,,,,
RI25-1036,Hungerford,12/11/2024,3:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 01, not sure sample type",,,,,,,,,,,,,,,,,,,
RI25-1037,Hungerford,12/11/2024,6:00,EST,Isco,Stream,72,Y,"MED reading from Del freezer bag 01, not sure sample type",AS-061025-012,0.0169368206205094,0.0216818979657739,46.8726152959824,0.0805422090063019,7.98075040372023,9.70619359934273,0.0491383987860295,21.0190054025551,0.255235402388361,8.3638820790843,6.5449123443751,0.218193040077121,0.0216376516977907,46.172,Run 2025-10-06,-83.194,-12.127,
RI25-1038,Hungerford,12/11/2024,9:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 01, not sure sample type",,,,,,,,,,,,,,,,,,,
RI25-1039,Hungerford,12/11/2024,12:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 01, not sure sample type",,,,,,,,,,,,,,,,,,,
RI25-1043,Wade,12/13/2024,15:00,EST,Isco,Stream,73,Y,"MED reading from Del freezer bag 01, not sure sample type",AS-061025-013,0.0442511619769384,0.0030458213400952,3.02654865633611,0.0321427392495102,0.191750914761463,0.458382795229493,0.0084197579474341,0.517649241415519,0.0062599582117541,0.841589286458895,3.01551004475672,0.0174072086856622,0.0475016794663341,,,-80.31,-12.085,
RI25-1044,Wade,12/13/2024,17:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 01, not sure sample type",,,,,,,,,,,,,,,,,,,
RI25-1061,Wade,12/11/2024,15:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 03, assuming all samples present (see PES UF). Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1062,Wade,12/11/2024,18:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 03, assuming all samples present (see PES UF). Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1063,Wade,12/11/2024,21:00,EST,Isco,Stream,74,Y,"MED reading from Del freezer bag 03, assuming all samples present (see PES UF). Missing GF/F sample currently.",AS-061025-014,0.109381510506663,0.0033878172105259,1.87430536537474,0.0775551692697198,0.44217001289688,0.284232805388596,0.0177487088897157,0.363654803454468,0.0224364956249886,0.561918017095589,1.90715395818112,0.0125691060462705,0.0114177274448686,,,-89.444,-13.221,
RI25-1064,Wade,12/12/2024,0:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 03, assuming all samples present (see PES UF). Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1065,Wade,12/12/2024,3:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 03, assuming all samples present (see PES UF). Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1066,Wade,12/12/2024,6:00,EST,Isco,Stream,75,Y,"MED reading from Del freezer bag 03, assuming all samples present (see PES UF). Missing GF/F sample currently.",AS-061025-015,0.100409853804241,0.0036493024845162,2.10238524397886,0.0617485639864288,0.450439077687645,0.340205086521091,0.0142803091910668,0.383836617137969,0.007620292600266,0.635572031435565,2.25815460457873,0.0128862133586331,0.0154434816724768,,,-84.484,-12.571,
RI25-1067,Wade,12/12/2024,9:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 03, assuming all samples present (see PES UF). Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1068,Hungerford,12/11/2024,15:00,EST,Isco,Stream,76,Y,"MED reading from Del freezer bag 04, assuming all samples present (see PES UF). Missing GF/F sample currently.",AS-061025-016,0.0322110738893765,0.0225222664671469,38.2583672568171,0.0928160172076454,10.0650742220242,8.00027819819626,0.0515133149386092,17.9376435915578,0.291017137228396,7.14464945487833,5.90413753728699,0.172950327820829,0.0168277001818537,43.055,Run 2025-10-06,-81.22,-11.855,
RI25-1069,Hungerford,12/11/2024,18:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 04, assuming all samples present (see PES UF). Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1070,Hungerford,12/11/2024,21:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 04, assuming all samples present (see PES UF). Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1071,Hungerford,12/12/2024,0:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 04, assuming all samples present (see PES UF). Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1072,Hungerford,12/12/2024,3:00,EST,Isco,Stream,77,Y,"MED reading from Del freezer bag 04, assuming all samples present (see PES UF). Missing GF/F sample currently.",AS-061025-017,0.0730089364495449,0.0206011883159924,29.4812389366373,0.188147785793283,10.010223452599,5.80241256657063,0.110398544380557,12.7667766294941,0.230387907768659,5.31041899194917,5.12454595585966,0.125720786397539,0.0053220076438713,19.252,Run 2025-10-06,-87.144,-12.429,
RI25-1073,Hungerford,12/12/2024,6:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 04, assuming all samples present (see PES UF). Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1074,Hungerford,12/12/2024,9:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 04, assuming all samples present (see PES UF). Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1075,Hungerford,12/12/2024,12:00,EST,Isco,Stream,,Y,"MED reading from Del freezer bag 04, assuming all samples present (see PES UF). Missing GF/F sample currently.",,,,,,,,,,,,,,,,,,,
RI25-1076,Hungerford,12/12/2024,15:00,EST,Isco,Stream,78,Y,"MED reading from Del freezer bag 04, assuming all samples present (see PES UF). Missing GF/F sample currently.",AS-061025-018,0.0337098243895724,0.0195929322675456,33.9249351391519,0.116506904641901,6.2480793012526,6.15967986082212,0.0604837238384027,12.6672605828189,0.131780480913914,6.34608554246141,5.87308798108956,0.146969380669101,0.005214494371556,19.036,Run 2025-10-06,-81.317,-11.742,
RI25-1077,Hungerford,12/13/2024,11:00,EST,Grab,Stream,3,Y,"MED reading from Del freezer bag 04, assuming all samples present (see PES UF). Missing GF/F sample currently.",AS-061025-019,0.0264119146821939,0.0211290307270727,45.2704809425351,0.122090935405888,4.4884432982344,8.02398520534142,0.0568106971891807,15.8869656842365,0.0693711699036979,8.38115671818207,7.07754307302086,0.203147708888939,0.0046096653331821,26.842,Run 2025-10-06,-74.671,-10.847,
RI25-1078,Potash,12/31/2024,1:00,EST,Isco,Stream,78,Y,MED,AS-061025-020,0.0279243626064264,0.0238975737231687,46.0519772891585,0.0888583265599649,3.08575358762281,14.7950570587495,0.0739567954794208,165.906583931073,0.0300445023103091,6.30585903803789,6.66104375076615,0.190784673542567,0.0045859367496742,309.98,Run 2025-10-06,-76.556,-11.257,
RI25-1079,Potash,12/31/2024,7:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1080,Potash,12/31/2024,13:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1081,Potash,12/31/2024,19:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1082,Potash,01/01/2025,1:00,EST,Isco,Stream,79,Y,MED,AS-061025-021,0.0169323402503934,0.0246353706604701,48.0671084914151,0.0534601212082995,4.07830590081285,16.4557425624611,0.0858666155874733,175.71785290631,0.032453595208441,7.05086486206825,6.20869929967425,0.202021203759903,0.177302577579472,326.886,Run 2025-10-06,-75.49,-11.083,
RI25-1083,Potash,01/01/2025,7:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1084,Potash,01/01/2025,13:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1085,Potash,01/01/2025,19:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1086,Potash,01/02/2025,1:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1087,Potash,01/02/2025,7:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1088,Potash,01/02/2025,13:00,EST,Isco,Stream,80,Y,MED,AS-061025-022,0.0065644313087224,0.0214938764276427,40.1108240744967,0.0271018607379653,3.04894464034306,15.7480876667399,0.0642906252879564,166.168894170483,0.0296390918344714,6.68853165824213,5.75370248155824,0.17471725501592,0.0006552713906448,308.348,Run 2025-10-06,-78.875,-11.499,
RI25-1089,Wade,01/02/2025,10:30,EST,Grab,Stream,4,Y,MED,AS-061025-023,0.0318723844658618,0.0041588214621015,3.27186310986956,0.0218658596475238,0.336380175047156,0.464174615836895,0.0031762761450188,0.562425773477991,0.0038478558945834,0.869466329806975,3.11049694825553,0.0183246015701001,0.0640454102745146,,,-89.041,-13.209,
RI25-1090,Wade,12/28/2024,18:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1091,Wade,12/29/2024,0:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1092,Wade,12/29/2024,6:00,EST,Isco,Stream,81,Y,MED,AS-061025-024,0.0191598776880189,0.0036948805854471,3.65879334662664,0.0195938071114606,0.266980703344329,0.550942376787107,0.0017796819813475,0.684118630012769,0.0038814753823897,1.03284371635259,3.8246460746537,0.0213885413673585,0.0142607239572642,,,-82.111,-12.313,
RI25-1093,Wade,12/29/2024,12:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1094,Wade,12/29/2024,18:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1095,Wade,12/30/2024,0:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1096,Wade,12/30/2024,6:00,EST,Isco,Stream,82,Y,MED,AS-061025-025,0.0877333110446754,0.0034014098628665,1.99367100744553,0.0395077810950433,0.213233329214938,0.292337451905946,0.004612085487964,0.375057285625518,0.0034672150272553,0.60895522913971,2.01964500523811,0.0124220726525519,0.0077161319122798,,,-93.421,-13.886,
RI25-1097,Wade,12/30/2024,12:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1098,Wade,12/30/2024,18:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1099,Wade,12/31/2024,0:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1100,Wade,12/31/2024,6:00,EST,Isco,Stream,83,Y,MED,AS-061025-026,0.0511288144801862,0.002668862355862,2.41074513070011,0.0233122227315044,0.164585768698625,0.362609778404873,0.0027495832731269,0.422399480148748,0.0023037572830331,0.727153835243808,2.67902177335261,0.0142746943429805,0.0026949001261242,,,-89.242,-13.371,
RI25-1101,Wade,12/31/2024,12:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1102,Wade,12/31/2024,18:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1103,Wade,01/01/2025,0:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1104,Wade,01/01/2025,6:00,EST,Isco,Stream,84,Y,MED,AS-061025-027,0.0359541982363896,0.0032543250815449,3.04718211433691,0.0255387639441542,0.184130716190971,0.447002014292828,0.004363409971166,0.505419669776665,0.0070199507779748,0.835743972882511,2.72283499131564,0.0180237696416292,0.000801341990886,,,-87.764,-13.107,
RI25-1105,Wade,01/01/2025,12:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1106,Wade,01/01/2025,18:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1107,Wade,01/02/2025,0:00,EST,Isco,Stream,,Y,MED,,,,,,,,,,,,,,,,,,,
RI25-1108,Wade,01/02/2025,6:00,EST,Isco,Stream,85,Y,MED,AS-061025-028,0.0267419278078994,0.0029818656520668,3.91189303396633,0.0238099863589923,0.169308915863699,0.520631575437548,0.0072574621439461,0.555774409038569,0.0018634905678394,0.944642397254108,3.12059195677353,0.0223420203248082,0.001581958144476,,,-92.101,-13.633,
RI25-1109,Potash,12/28/2024,9:00,EST,Baseflow,Endmember,5,Y,Pre-ISCO grab taken manually from stream can be baseflow MED,AS-061025-029,0.0066565897948343,0.0299616326728005,55.4347035381111,0.0118693726109697,3.22948502841281,17.5123092232937,0.178426551059082,221.722281566804,0.0351463076121462,7.76991371722743,8.08038343275131,0.244557802849846,0.0184149910469105,389.777,Run 2025-10-06,-71.444,-10.547,
RI25-1110,Hungerford,12/28/2024,13:00,EST,Baseflow,Endmember,6,Y,Pre-ISCO grab taken with ISCO line,AS-061025-030,0.0065641525502455,0.0245098603886824,57.8103283209994,0.0179110127698245,3.23519431286504,11.8028895283741,0.035389203283852,55.5407828111041,0.0316227191874852,9.13284240712454,8.49867497622398,0.268574211597268,0.0045539327620859,,,-70.493,-10.48,
RI25-1111,Wade,12/28/2024,14:30,EST,Baseflow,Endmember,7,Y,Pre-ISCO grab taken with ISCO line,AS-061025-031,0.0126674720900835,0.0039839168002378,4.03730185244424,0.0076376620462609,0.218635949190643,0.60244190923028,0.0016663384819432,0.717976300296246,0.0025128400915795,1.15697566815387,4.09138987053165,0.0237166572146709,0.0571509565142312,,,-78.977,-12.013,
RI25-1112,Wade,01/02/2025,12:00,EST,Snowmelt lysimeter,Endmember,8,Y,"MED - was still liquid under 20 cm snow insulation. Sampled right bottle, emptied left.",AS-061025-032,0.0084426448757301,0.0016379279445865,2.08239530002949,0.0085346094474101,0.555337896010912,0.672854084978792,0.0018054059988524,2.79161428014061,0.0589185094617445,0.319000171215353,1.61513276249999,0.010086773231093,0.0164660508676089,,,-127.762,-17.778,
RI25-1113,Hungerford,01/02/2025,12:00,EST,Snowmelt lysimeter,Endmember,9,Y,,AS-061025-033,0.0512764698798423,0.0050567207324497,5.76867796640229,0.0227123197248299,1.51046674993606,3.00894347882435,0.0115599926884761,12.6357123601275,0.35263866327542,1.19393749814484,5.79073167133884,0.0310008930696641,0.0388084230920984,10.22,Run 2025-10-06,-132.014,-18.18,
RI25-1114,Potash,12/28/2024,9:00,EST,Snow,Endmember,10,Y,Snow sample taken pre-melt because there is no SML set up at Potash currently MED,AS-061025-034,0.0024356474910754,0.0056089310406936,2.45004057491752,0.0033484007405122,0.215217200596977,0.424255990289439,0.0056284330562423,5.24864115602864,0.0078441109593032,0.450737028629754,0.467011065768259,0.0062809372500349,0.0160707268317587,7.264,Run 2025-10-06,-152.448,-22.053,
RI25-1115,Wade,02/10/2025,11:00,EST,Soil water lysimeter dry,Endmember,11,Y,Forgot to filter GF/F before tossing MED,AS-061025-035,0.34351025154112,0.0042461749510821,0.311310064011197,0.0961438679861533,0.124891453142565,0.117381357762017,0.0016515970368478,0.127532164929982,0.009742624874038,0.196826480405888,2.69107565167914,0.0024868839629022,0.017911759130375,,,-81.293,-12.148,
RI25-1116,Hungerford,02/10/2025,12:30,EST,Soil water lysimeter dry,Endmember,12,Y,Got about 1 L of clear water,AS-061025-036,0.0354620646286075,0.0237414790824847,37.3338544826754,0.0257509398792981,0.528292767436512,4.97139774042044,0.0012978641894512,7.57597930699061,0.0951889752521298,15.696387208996,14.5822070208133,0.150206218490675,0.0134657431547053,12.588,Run 2025-10-06,-63.812,-9.538,
RI25-1117,Hungerford,02/10/2025,13:00,EST,Soil water lysimeter wet,Endmember,13,Y,Got about 300 mL clear water,AS-061025-037,0.18370745876058,0.0107134878633691,7.62754182284029,0.163375547446333,1.48295451693214,1.4498504476483,0.0023977879868503,2.07107551894728,0.110365626784113,2.56488469012499,8.52293418302902,0.0401657668107341,0.0137187466824647,,,-89.041,-12.763,
RI25-1118,Wade,12/12/2024,12:00,EST,Isco,Stream,,Y,MED found iso need log,,,,,,,,,,,,,,,,,,,
RI25-1119,Wade,12/12/2024,15:00,EST,Isco,Stream,,Y,MED found iso need log,,,,,,,,,,,,,,,,,,,
RI25-1120,Wade,12/12/2024,18:00,EST,Isco,Stream,,Y,MED found iso need log,,,,,,,,,,,,,,,,,,,
RI25-1121,Wade,10/08/2024,14:00,EDT,Soil water lysimeter dry,Endmember,14,N,Check that no PES...can't find as of 2025-06-09 MED,,,,,,,,,,,,,,,,,-55.86,-8.628,
RI25-1122,Hungerford,12/18/2024,13:15,EST,Soil water lysimeter wet,Endmember,15,Y,More than 1 L. Was last sampled 12/10/2024 no water then. Did not require priming so presume it really was empty. Emptied. MED. Missing GF/F sample currently.,AS-061025-038,0.104292274312715,0.0136803810290885,10.802080260442,0.189389551039068,2.10493155229986,2.2993039327885,0.0191114029293714,18.6876928930546,0.22843290142136,3.376826628973,7.89434743421026,0.0501513950053542,0.0616053772076994,27.347,Run 2025-10-06,-85.136,-12.218,
RI25-1123,Wade,12/17/2024,12:30,EST,Soil water lysimeter dry,Endmember,16,Y,"About 500 mL, pump needed priming. Emptied. Last sampled 12/10/2024 but there may have been water because this is a tricky one MED",AS-061025-039,0.302230173900663,0.005087494871497,0.482012395003098,0.0942685608067847,0.400441140326505,0.114725286867467,0.0029730914136302,0.201120747249083,0.0105717148314338,0.230593321458091,2.37217692140535,0.0026058777304597,0.902381504079543,,,-76.484,-11.243,
RI25-1124,Hungerford,12/18/2024,13:00,EST,Soil water lysimeter dry,Endmember,17,Y,More than 1 L. Was last sampled 12/10/2024 no water then. Did require priming so maybe there was some water in there before. Emptied. MED. Missing GF/F sample currently.,AS-061025-040,0.0236952447995943,0.0237286878617453,37.4072599917519,0.0185475320278764,0.680912078855531,4.96384853356119,0.0022797603268471,7.18588163926732,0.0584645100820437,15.7769320818403,14.8139957762255,0.151496211928396,0.0298922816318826,13.863,Run 2025-10-06,-63.046,-9.42,
RI25-1125,Potash,12/18/2024,10:15,EST,Soil water lysimeter dry,Endmember,18,Y,Lysimeter was full. Emptied. Last sampled 12/10/2024 no water then. Did not require priming. MED. Missing GF/F sample currently.,AS-061025-041,0.107948966158962,0.0081829252014912,13.0712436822085,0.0987472072965153,9.55718890005296,2.61499526690342,0.0148500470985387,0.452485822021034,1.40358265684637,1.06303871011562,4.80781440303856,0.0300979487763582,0.0598189309859664,4.895,Run 2025-10-06,-96.976,-14.06,
RI25-1126,Wade,12/06/2024,11:15,EST,Baseflow,Endmember,19,Y,SB NEWRnet grab but could be baseflow MED need to find iso vial and give RI label. Missing GF/F sample currently.,AS-061025-042,0.0187019697445046,0.0039623627660394,4.25853407849128,0.0156627154284537,0.315981964013072,0.633652646520205,0.0028972413170145,0.631484268724815,0.0050014722053655,1.1490498112041,4.14724129717971,0.0257187995074795,0.0185145677339779,,,-77.4,-11.782,
RI25-1127,Potash,12/10/2024,15:00,EST,Snow,Endmember,20,Y,,AS-061025-043,0.0034296657767558,0.0023012455100121,0.598009336370448,0.0048310482923197,0.492079488951174,0.0775429067471117,0.0019953586611425,0.859497027411647,0.0195512771904986,0.118865588602393,0.237596332069776,0.0012254534111042,0.0168399428814549,,,-155.884,-21.394,
