Site,Pit,Date in,Date out,Month,NH4 ppm,NH4(mg N/L) ,vol of KCl (L) ,NH4 (mg N) ,Number of resin strips ,NH4 (mg N/ resin strip) ,area of resin strip (cm2),NH4 (mg N/ cm2) ,deployment (days),N adsorbed (mg N cm-2 day-1) ,N adsorbed (ug N cm-2 day-1) ,N adsorbed (ug N cm-2 week-1) ,N adsorbed (ug N cm-2 30 days-1) 
Wade Wet,1,11/17/2021,12/15/2021,12/15/2021,0.35,0.35,0.04,0.01,1,0.01,11.4,0.00123,28,0.000044,0.04,0.31,1.32
Wade Wet,5,11/17/2021,12/15/2021,,0.51,0.51,0.04,0.02,1,0.02,11.4,0.00178,28,0.000063,0.06,0.44,1.9
Wade Wet,6,11/17/2021,12/15/2021,,0.92,0.92,0.04,0.04,1,0.04,11.4,0.00323,28,0.000115,0.12,0.81,3.46
Wade Wet,7,11/17/2021,12/15/2021,,-0.02,-0.02,0.04,0,1,0,11.4,-0.00009,28,-0.000003,0,-0.02,-0.09
Wade Wet,8,11/17/2021,12/15/2021,,0.3,0.3,0.04,0.01,1,0.01,11.4,0.00106,28,0.000038,0.04,0.27,1.14
Wade Dry,1,11/17/2021,12/15/2021,,0.15,0.15,0.04,0.01,1,0.01,11.4,0.00051,28,0.000018,0.02,0.13,0.55
Wade Dry,2,11/17/2021,12/15/2021,,0.05,0.05,0.04,0,1,0,11.4,0.00018,28,0.000006,0.01,0.05,0.19
Wade Dry,3,11/17/2021,12/15/2021,,-0.12,-0.12,0.04,0,1,0,11.4,-0.00042,28,-0.000015,-0.02,-0.11,-0.45
Wade Dry,4,11/17/2021,12/15/2021,,0.13,0.13,0.04,0.01,1,0.01,11.4,0.00044,28,0.000016,0.02,0.11,0.47
Wade Dry,5,11/17/2021,12/15/2021,,0.12,0.12,0.04,0,1,0,11.4,0.00043,28,0.000015,0.02,0.11,0.46
Hungerford Dry,1,11/17/2021,12/16/2021,,0.07,0.07,0.04,0,1,0,11.4,0.00024,29,0.000008,0.01,0.06,0.25
Hungerford Dry,2,11/17/2021,12/16/2021,,75.82,75.82,0.04,3.03,1,3.03,11.4,0.26604,29,0.009174,9.17,64.22,275.21
Hungerford Wet,1,11/17/2021,12/16/2021,,0.48,0.48,0.04,0.02,1,0.02,11.4,0.00168,29,0.000058,0.06,0.41,1.74
Hungerford Wet,2,11/17/2021,12/16/2021,,5.28,5.28,0.04,0.21,1,0.21,11.4,0.01853,29,0.000639,0.64,4.47,19.17
Hungerford Wet,3,11/17/2021,12/16/2021,,0.91,0.91,0.04,0.04,1,0.04,11.4,0.00321,29,0.000111,0.11,0.77,3.32
Hungerford Wet,5,11/17/2021,12/16/2021,,0.13,0.13,0.04,0.01,1,0.01,11.4,0.00044,29,0.000015,0.02,0.11,0.46
Wade Wet,1,12/15/2021,2/15/2022,,0.12,0.12,0.04,0,1,0,11.4,0.00041,62,0.000007,0.01,0.05,0.2
Wade Wet,5,12/15/2021,2/15/2022,,0.66,0.66,0.04,0.03,1,0.03,11.4,0.0023,62,0.000037,0.04,0.26,1.11
Wade Wet,6,12/15/2021,2/15/2022,,1.3,1.3,0.04,0.05,1,0.05,11.4,0.00456,62,0.000074,0.07,0.52,2.21
Wade Wet,7,12/15/2021,2/15/2022,,0.04,0.04,0.04,0,1,0,11.4,0.00012,62,0.000002,0,0.01,0.06
Wade Wet,8,12/15/2021,2/15/2022,,0.1,0.1,0.04,0,1,0,11.4,0.00035,62,0.000006,0.01,0.04,0.17
Wade Dry,1,12/15/2021,2/15/2022,,0.16,0.16,0.04,0.01,1,0.01,11.4,0.00057,62,0.000009,0.01,0.06,0.27
Wade Dry,2,12/15/2021,2/15/2022,,0.28,0.28,0.04,0.01,1,0.01,11.4,0.00098,62,0.000016,0.02,0.11,0.47
Wade Dry,3,12/15/2021,2/15/2022,,0,0,0.04,0,1,0,11.4,0,62,0,0,0,0
Wade Dry,4,12/15/2021,2/15/2022,,0.08,0.08,0.04,0,1,0,11.4,0.00027,62,0.000004,0,0.03,0.13
Wade Dry,5,12/15/2021,2/15/2022,,0.2,0.2,0.04,0.01,1,0.01,11.4,0.00071,62,0.000012,0.01,0.08,0.35
