Sample ID,Datetime,Site,Baseflow,Snowmelt lysimeter,Soil water lysimeter,Sum_Fractions
RI23-1004,2023-02-10 04:00:00,Hungerford,0.48605604954952475,0.0,0.5139439504504753,1.0
RI23-1005,2023-02-10 10:00:00,Hungerford,0.2167414758844872,0.0,0.7832585241155129,1.0
RI23-1007,2023-02-10 16:00:00,Hungerford,0.4163287930687966,3.172375556692586e-16,0.5836712069312031,1.0
RI23-1008,2023-02-11 12:30:00,Hungerford,0.8407148746711185,0.15928512532888145,1.470178145890344e-16,1.0000000000000002
RI23-1001,2023-02-09 13:40:00,Hungerford,0.8756013583864177,0.12439864161358227,0.0,1.0
RI23-1002,2023-02-09 16:00:00,Hungerford,0.8119644699068505,0.1880355300931494,2.884384354626124e-16,1.0000000000000002
RI23-1003,2023-02-09 22:00:00,Hungerford,,,,0.0
