Sample ID,Datetime,Site,Baseflow,Snowmelt lysimeter,Soil water lysimeter,Sum_Fractions
RI23-1035,2023-03-22 15:00:00,Hungerford,0.9999999999999847,7.16093850883226e-15,8.1601392309949e-15,1.0
RI23-1036,2023-03-22 18:00:00,Hungerford,0.9303230593323643,0.0696769406676357,0.0,1.0
RI23-1037,2023-03-23 00:00:00,Hungerford,0.6665755387369202,1.0436861816680534e-14,0.33342446126306924,0.9999999999999999
RI23-1038,2023-03-23 06:00:00,Hungerford,0.6763902605726778,6.398332401580056e-14,0.3236097394272583,1.0
RI23-1042,2023-03-23 12:00:00,Hungerford,0.7306778444460202,0.023376857737786055,0.24594529781619368,1.0
RI23-1043,2023-03-23 18:00:00,Hungerford,0.6632855856028411,0.28453883116570394,0.05217558323145491,0.9999999999999999
RI23-1044,2023-03-24 00:00:00,Hungerford,0.39573376477325073,0.6042662352267493,0.0,1.0
RI23-1045,2023-03-24 06:00:00,Hungerford,0.47625697083306734,0.4784051527061525,0.04533787646078016,1.0
RI23-1046,2023-03-24 12:00:00,Hungerford,0.4703538632013032,0.38386999447481074,0.14577614232388605,0.9999999999999999
RI23-1047,2023-03-24 15:45:00,Hungerford,0.599256485312808,0.35128340893732696,0.04946010574986517,1.0
