Sample ID,Datetime,Site,Groundwater,Snowmelt lysimeter,Soil water lysimeter,Sum_Fractions
RI23-1064,2023-03-31 08:00:00,Wade,0.500579817584425,0,0.499420182415576,1
RI23-1065,2023-03-31 14:00:00,Wade,0.37470212034741,8.00058771828526E-16,0.625297879652589,1
RI23-1066,2023-03-31 20:00:00,Wade,0.457859976105192,0,0.542140023894808,1
RI23-1067,2023-04-01 02:00:00,Wade,0.455073933375187,2.76878129798486E-15,0.544926066624811,1
RI23-1068,2023-04-01 08:00:00,Wade,0.481834528992163,1.06780361462666E-16,0.518165471007837,1
RI23-1069,2023-04-01 14:00:00,Wade,0.27390550329925,0.223215452082246,0.502879044618504,1
RI23-1070,2023-04-01 20:00:00,Wade,0.24709517047567,0.128653850064631,0.624250979459698,1
RI23-1093,2023-04-10 06:00:00,Wade,0.272602759231867,0.286233489484849,0.441163751283285,1
RI23-1094,2023-04-10 12:00:00,Wade,0.218866441607939,0.355121043435574,0.426012514956487,1
RI23-1095,2023-04-10 18:00:00,Wade,0.185570907030643,0.296850784698314,0.517578308271043,1
RI23-1096,2023-04-11 00:00:00,Wade,0.181203617806078,0.362392031520738,0.456404350673185,1
RI23-1097,2023-04-11 06:00:00,Wade,0.129124619298881,0.528787963210979,0.342087417490141,1
RI23-1100,2023-04-11 16:00:00,Wade,0.135285274106483,0.597786296995098,0.266928428898419,1
RI23-1101,2023-04-12 00:00:00,Wade,0.26408825150973,0.329090104296634,0.406821644193636,1
RI23-1102,2023-04-12 08:00:00,Wade,0.237526312071195,0.0784291449823626,0.684044542946442,1
RI23-1071,2023-04-02 02:00:00,Wade,0.230178004426599,1.1269867116102E-15,0.7698219955734,1
RI23-1072,2023-04-02 08:00:00,Wade,0.275811409620943,0,0.724188590379057,1
RI23-1073,2023-04-02 14:00:00,Wade,0.361343102764099,0.202508495792548,0.436148401443354,1
RI23-1074,2023-04-02 20:00:00,Wade,0.363163875089875,0.41381680852147,0.223019316388656,1
RI23-1075,2023-04-03 02:00:00,Wade,0.334358101633893,0.125061230747627,0.54058066761848,1
RI23-1077,2023-04-03 14:00:00,Wade,0.393948283104031,0.389345476954607,0.216706239941361,1
RI23-1078,2023-04-03 22:00:00,Wade,0.346730081289673,0.23911613514018,0.414153783570147,1
RI23-1079,2023-04-04 06:00:00,Wade,0.232702141515348,0.767297858484652,0,1
RI23-1080,2023-04-04 14:00:00,Wade,0.116489862623083,0.463419702166566,0.420090435210352,1
RI23-1081,2023-04-05 14:00:00,Wade,0.105594869752209,0.221120029972132,0.673285100275659,1
RI23-1082,2023-04-05 22:00:00,Wade,0.123412634098922,0.325682078904462,0.550905286996616,1
RI23-1048,2023-04-06 12:00:00,Wade,0.144481298473965,0.168698664069646,0.686820037456389,1
RI23-1083,2023-04-06 06:00:00,Wade,0.197098631584844,0.359298417013105,0.443602951402051,1
RI23-1049,2023-04-07 00:00:00,Wade,,,,0
RI23-1050,2023-04-07 06:00:00,Wade,,,,0
RI23-1051,2023-04-07 12:00:00,Wade,,,,0
RI23-1052,2023-04-07 17:00:00,Wade,,,,0
