"Site","Tracer","N_Samples","m_1","m_2","m_3","m_4","m_5","m_6","m_7","m_8","m_9","m_10","m_11","m_12"
"Hungerford","Mn_mg_L",25,0.567340561694376,0.470558456725787,0.375935995170239,0.363989232647052,0.185191514715682,0.135226975928811,0.134219398142277,0.0184022982927515,0.0183819245772048,0.00880429648929884,0.00316092334321243,9.50566951849143e-16
"Hungerford","Ca_mg_L",25,0.122346816263272,0.0895953600205162,0.0869364148273627,0.0863851883128204,0.0835092947150045,0.0828509615255901,0.0420379607138642,0.0237138567345117,0.00452398487914133,0.00237054847501667,0.00194017817443838,3.26417345994841e-16
"Hungerford","Mg_mg_L",25,0.0725134178722957,0.0590918697458474,0.0393682923945916,0.0318177472021038,0.02913796939714,0.0233896098330292,0.0226892953140761,0.0226304762099812,0.0162062989794469,0.0151384613066839,0.00748319005017627,2.1229411530424e-16
"Hungerford","Na_mg_L",25,0.0584650294437207,0.0480979462634113,0.0398564766545832,0.0330047853434893,0.0319517511911058,0.027865529620127,0.0204304271709252,0.0183130220442796,0.0179191811360371,0.0178058940995022,0.00735633083065833,1.48018393102337e-16
"Hungerford","Cl_mg_L",25,0.202864643729082,0.169630125996657,0.0962808289598957,0.0803873111312819,0.0376356409605384,0.037514792796605,0.0374192383453293,0.0118493299327799,0.0114413432141568,0.0103481035408111,0.00992143995497759,4.06401516267299e-16
"Hungerford","Si_mg_L",25,0.147798781466191,0.139646987425683,0.137734465362995,0.0569297841909225,0.0567754732445868,0.0242015582140622,0.0168551145077108,0.00419439737333718,0.00391967414402359,0.00377095667032239,0.000199172525831773,1.90613646360545e-16
"Hungerford","dD",25,0.0303405189539692,0.0192143744121313,0.0139411518091021,0.0137911273487848,0.00649035164847129,0.00630002260257599,0.00574750163128412,0.00566555300626782,0.00564245490050812,0.000841452789096782,0.000771070929832172,6.60880406574286e-17
"Hungerford","d18O",25,0.0310043389685702,0.0249501709411288,0.0170360096673188,0.0165319087519425,0.00650062983990909,0.00554728008424342,0.00551527857769399,0.00511023595156697,0.00501924878274062,0.000674653985987559,0.000572625751880322,8.51409675465264e-17
"Hungerford","SO4_mg_L",25,0.255805208404266,0.192516882492842,0.18760733650273,0.145358106130254,0.145281138226597,0.136561292105437,0.0602872415115307,0.0168425074005257,0.0151206127558581,0.0135630626614268,0.0098337267666638,4.03783224338243e-16
"Hungerford","K_mg_L",25,0.231828601441495,0.0895638217454103,0.0838595613900789,0.0835818248238135,0.047685668476972,0.0473761112251893,0.0369235745055501,0.0353930653450961,0.01332915022989,0.00560924890529826,0.0051487268436586,3.5677463537988e-16
"Hungerford","Cu_mg_L",25,0.680979058434798,0.494227403879241,0.494117404709615,0.399062169470221,0.346351909307052,0.183054644378931,0.0769826473772207,0.0768780435341245,0.00967315538659456,0.00889483490550194,0.00805562893351056,1.02518932970207e-15
"Hungerford","P_mg_L",25,0.599299897508571,0.35706147591222,0.254493638093251,0.144302614740522,0.139377989861727,0.0785685076059155,0.0714604442145064,0.0561162930541843,0.0171732796962474,0.0130821301397303,0.0078630395573469,1.00518651095174e-15
