"Site","Tracer","N_Samples","m_1","m_2","m_3","m_4","m_5","m_6","m_7","m_8","m_9","m_10","m_11","m_12"
"Wade","Mn_mg_L",42,0.840051249130851,0.488550569516454,0.318965508480976,0.312261260764494,0.308753916832252,0.301309684416922,0.271259697918185,0.0896377695339681,0.0356730835145723,0.0308607101264445,0.00353840640438573,1.10225593923609e-15
"Wade","Cu_mg_L",42,0.879792231343578,0.553060553891884,0.476164483871805,0.471414893774013,0.312728021765896,0.272249506181544,0.0327119863104981,0.0325200041578245,0.0211798666765152,0.0208635530330479,0.00636397084338387,2.11094589572383e-15
"Wade","P_mg_L",42,0.316143442605407,0.163895472537621,0.102512697337665,0.091582516257252,0.0889722872028047,0.0889277833625533,0.0754565887793149,0.0672992027382864,0.0525594825524609,0.0363050363692404,0.0019595553398939,4.43985346336226e-16
"Wade","Cl_mg_L",42,0.19418632046788,0.158123810001817,0.12255723093744,0.0478265856699987,0.0419139920902357,0.02090277942175,0.0164482968081639,0.0134808879214053,0.00628272550783778,0.000566329051743125,0.00010731656058487,6.41067578016228e-17
"Wade","SO4_mg_L",42,0.354526039098953,0.225220488579211,0.156864034387353,0.115506816094783,0.0813756526051482,0.0704334615632312,0.0492184997231707,0.037237180138858,0.0128938780893519,0.00815463566655738,0.000990137749376393,2.35425563837015e-16
"Wade","Ca_mg_L",42,0.112015097345771,0.0817559754734783,0.0441785947382315,0.0334919487169587,0.0286003499701714,0.0240569799315271,0.0162752188556924,0.016224600587897,0.0161513023998904,0.0120845355506582,0.00959475082148158,2.08220648761717e-16
"Wade","Mg_mg_L",42,0.113480172329137,0.0847238951747242,0.0443149279341126,0.0387207235546007,0.0359913621320734,0.03382493991363,0.0176498511404232,0.0176386819580867,0.0175554701571774,0.0112635589244404,0.0110359335985869,1.73217274579117e-16
"Wade","Na_mg_L",42,0.162799423326817,0.136897500651046,0.0916971162494317,0.0812940676848222,0.0803296461943631,0.0677909997332707,0.066806970874292,0.0661692286329712,0.0642644148327889,0.0412968444793377,0.00160119066028998,4.1909721018569e-16
"Wade","dD",42,0.0252513024172418,0.0177979278454144,0.0152597749151,0.00655550258915494,0.00651684467366268,0.00593194062438311,0.00555935912626722,0.00549388808038626,0.00164051669166706,0.00105562121579271,7.50332794775383e-05,0
"Wade","d18O",42,0.0332077757446893,0.024901011450131,0.0221884268539602,0.0091805143982974,0.00837557569960438,0.00468394335747324,0.00454665844514061,0.00454318519833505,0.00177185400877985,0.00130626604934714,0.000163998245885111,2.18262600205072e-17
"Wade","DOC_mg_L",42,0.191886617205792,0.191874424599508,0.0963317825237158,0.0939735868855193,0.0925774408881522,0.057721215170346,0.0120747169897946,0.0113098437542239,0.0104850027385667,0.00863982552891096,0.000810977641637521,2.95712713131008e-16
"Wade","K_mg_L",42,0.48062446491098,0.257970447334051,0.173831633406987,0.173809527648714,0.117677328819187,0.116193688030581,0.115577818384543,0.0687483555829814,0.0614167551286617,0.0402846911513006,0.00252739547121754,6.05961660277581e-16
