Sample ID,Site,Type,Datetime,Groundwater,Soil water lysimeter,Snowmelt lysimeter,Sum Fractions
RI23-1005,Hungerford,Grab/Isco,2023-02-10 10:00:00,0.405821192607524,0.495202939036195,0.0989758683562808,1
RI23-1007,Hungerford,Grab/Isco,2023-02-10 16:00:00,1.46098165957189E-13,0.349700201655242,0.650299798344612,1
RI23-1008,Hungerford,Grab/Isco,2023-02-11 12:30:00,0.0549898535581095,0.850484341487813,0.0945258049540779,1
RI23-1027,Hungerford,Grab/Isco,2023-02-16 10:30:00,0.100664331297471,0.899335668702529,-7.78612350230621E-17,1
RI23-1033,Hungerford,Grab/Isco,2023-02-17 13:30:00,0.078155982634741,0.392079738628598,0.529764278736661,1
RI23-1001,Hungerford,Baseflow,2023-02-09 13:40:00,0.999999999999997,1.16573417585641E-15,1.27675647831893E-15,1
RI23-1002,Hungerford,Grab/Isco,2023-02-09 16:00:00,0.999999999999995,3.71924713249427E-15,1.60982338570648E-15,1
RI23-1003,Hungerford,Grab/Isco,2023-02-09 22:00:00,0.999999999999996,3.49720252756924E-15,7.21644966006352E-16,1
RI23-1035,Hungerford,Baseflow,2023-03-22 15:00:00,0.965635034472319,1.32222058520313E-15,0.03436496552768,1
RI23-1036,Hungerford,Grab/Isco,2023-03-22 18:00:00,0.877116749003329,-7.60819161796763E-16,0.122883250996672,1
RI23-1037,Hungerford,Grab/Isco,2023-03-23 00:00:00,0.375462750074797,-2.11365213526049E-15,0.624537249925205,1
RI23-1038,Hungerford,Grab/Isco,2023-03-23 06:00:00,0.427377056967319,1.81663495010809E-14,0.572622943032663,1
RI23-1042,Hungerford,Grab/Isco,2023-03-23 12:00:00,0.587610721355523,0.0210936593275559,0.391295619316921,1
RI23-1043,Hungerford,Grab/Isco,2023-03-23 18:00:00,0.146910011835365,0.197357667870756,0.655732320293879,1
RI23-1044,Hungerford,Grab/Isco,2023-03-24 00:00:00,-4.75128937654339E-13,0.466604131276206,0.533395868724269,1
RI23-1045,Hungerford,Grab/Isco,2023-03-24 06:00:00,-1.69623050566657E-13,0.971329556941325,0.0286704430588442,1
RI23-1046,Hungerford,Grab/Isco,2023-03-24 12:00:00,6.03034091449595E-14,0.844770223338879,0.15522977666106,1
RI23-1047,Hungerford,Grab/Isco,2023-03-24 15:45:00,2.06161163528988E-15,0.806495790586969,0.193504209413029,1
RI23-1085,Hungerford,Baseflow,2023-03-31 14:00:00,0.350438911029383,0.338330013641158,0.311231075329459,1
RI23-1086,Hungerford,Grab/Isco,2023-03-31 20:00:00,0.258333024666381,0.279219757456825,0.462447217876794,1
RI23-1087,Hungerford,Grab/Isco,2023-04-01 02:00:00,0.294882532521705,0.136007548074778,0.569109919403517,1
RI23-1088,Hungerford,Grab/Isco,2023-04-01 08:00:00,0.329947881505514,0.101234593232422,0.568817525262064,1
RI23-1089,Hungerford,Grab/Isco,2023-04-01 14:00:00,0.268249951816527,0.397713344646014,0.334036703537459,1
RI23-1099,Hungerford,Grab/Isco,2023-04-11 13:30:00,0.278723832833147,7.08981484631721E-15,0.721276167166846,1
RI23-1091,Hungerford,Grab/Isco,2023-04-02 02:00:00,1.71685457217512E-13,0.607795087498801,0.392204912501027,1
,,,,8.80031981817888,8.1547542634021,8.04492591841903,25
,,,,35.2012792727155,32.6190170536084,32.1797036736761,
