Sample ID,Datetime,Site,Groundwater,Snowmelt lysimeter,Soil water lysimeter,Sum_Fractions,Groundwater_Uncertainty_70sig,Snowmelt lysimeter_Uncertainty_70sig,Soil water lysimeter_Uncertainty_70sig
RI23-1064,2023-03-31 08:00:00,Wade,0.5005798175844245,0.0,0.4994201824155756,1.0,0.22177262796968245,0.47934991357428114,0.6791582476189788
RI23-1065,2023-03-31 14:00:00,Wade,0.3747021203474104,8.000587718285264e-16,0.6252978796525889,1.0,0.1890094759889988,0.42553042706357747,0.5949642198996332
RI23-1066,2023-03-31 20:00:00,Wade,0.4578599761051916,0.0,0.5421400238948084,1.0,0.2048129049122685,0.4503433111974793,0.6350603127125888
RI23-1067,2023-04-01 02:00:00,Wade,0.45507393337518676,2.768781297984857e-15,0.5449260666248105,1.0,0.2130195922038903,0.4687567451638517,0.6602445818740362
RI23-1068,2023-04-01 08:00:00,Wade,0.48183452899216256,1.0678036146266612e-16,0.5181654710078374,1.0,0.21911120346789686,0.47027408835604795,0.6686801862008908
RI23-1070,2023-04-01 20:00:00,Wade,0.2470951704756703,0.1286538500646314,0.6242509794596983,1.0,0.1668556962174209,0.38712858088297175,0.535050306557249
RI23-1071,2023-04-02 02:00:00,Wade,0.23017800442659905,1.1269867116102012e-15,0.7698219955733999,1.0,0.0868875817319648,0.08688758173523446,6.288717065829198e-13
RI23-1072,2023-04-02 08:00:00,Wade,0.2758114096209428,0.0,0.7241885903790573,1.0,0.15773575304427837,0.3777194219491398,0.5162128509308962
RI23-1073,2023-04-02 14:00:00,Wade,0.36134310276409864,0.20250849579254762,0.43614840144335376,1.0,0.1590575617295716,0.3918163524340237,0.5328548104607543
RI23-1074,2023-04-02 20:00:00,Wade,0.3631638750898745,0.41381680852146985,0.2230193163886556,1.0,0.16606828446003205,0.40568669355220016,0.5525701173582388
RI23-1075,2023-04-03 02:00:00,Wade,0.3343581016338931,0.12506123074762654,0.5405806676184804,1.0,0.1833379032845086,0.40375829878385133,0.5654199432931534
RI23-1077,2023-04-03 14:00:00,Wade,0.39394828310403135,0.38934547695460736,0.21670623994136126,1.0,0.09464769280703712,0.09464769280705683,1.6928380086633786e-13
RI23-1078,2023-04-03 22:00:00,Wade,0.3467300812896731,0.23911613514017982,0.41415378357014726,1.0000000000000002,0.17893239436960276,0.40230568188953425,0.5628023571253359
RI23-1080,2023-04-04 14:00:00,Wade,0.11648986262308259,0.4634197021665658,0.42009043521035166,1.0,0.09667717176313763,0.09667717176321472,2.363968373146787e-12
RI23-1081,2023-04-05 14:00:00,Wade,0.10559486975220904,0.22112002997213184,0.673285100275659,0.9999999999999999,0.1820314070539947,0.3975356361429976,0.5585679295046376
RI23-1082,2023-04-05 22:00:00,Wade,0.12341263409892186,0.3256820789044618,0.5509052869966163,1.0,0.0631250955248326,0.0631250955454792,3.930800135801676e-11
RI23-1048,2023-04-06 12:00:00,Wade,0.1444812984739652,0.16869866406964645,0.6868200374563885,1.0000000000000002,0.10566001216071386,0.3013608200403343,0.39325809502175985
RI23-1049,2023-04-07 00:00:00,Wade,,,,0.0,0.1134582160862146,0.327929352530167,0.42649451492426027
RI23-1050,2023-04-07 06:00:00,Wade,,,,0.0,0.11166267305239291,0.31500647857669983,0.4125660707460293
RI23-1051,2023-04-07 12:00:00,Wade,,,,0.0,0.11913182170980614,0.32944496288906244,0.43461306401645444
RI23-1052,2023-04-07 17:00:00,Wade,,,,0.0,0.12807807277253663,0.3262299257075925,0.43858513851315445
RI23-1093,2023-04-10 06:00:00,Wade,0.272602759231867,0.2862334894848485,0.4411637512832845,1.0,0.1574756407839904,0.3750530209804004,0.5137567182603408
RI23-1094,2023-04-10 12:00:00,Wade,0.21886644160793886,0.35512104343557416,0.42601251495648695,1.0,0.15818967389517952,0.3707455194471179,0.5111131439792296
RI23-1095,2023-04-10 18:00:00,Wade,0.1855709070306428,0.2968507846983142,0.5175783082710431,1.0,0.14558743236143562,0.3546446730713747,0.482164919410727
RI23-1096,2023-04-11 00:00:00,Wade,0.1812036178060775,0.3623920315207375,0.456404350673185,1.0,0.14186723773296134,0.3553461617238784,0.4797589965040888
RI23-1097,2023-04-11 06:00:00,Wade,0.1291246192988806,0.5287879632109789,0.3420874174901405,1.0,0.13314210025938528,0.34013179332259763,0.4562653763350873
RI23-1100,2023-04-11 16:00:00,Wade,0.1352852741064828,0.5977862969950978,0.26692842889841945,1.0,0.057589119101040344,0.05758911909502149,8.708230277901772e-12
RI23-1101,2023-04-12 00:00:00,Wade,0.2640882515097297,0.32909010429663393,0.4068216441936364,1.0,0.05341038030824622,0.05341038030960651,1.029334903800909e-12
