Sample ID,Site,Type,Datetime,Groundwater,Soil water lysimeter,Snowmelt lysimeter,Sum Fractions
RI23-1005,Hungerford,Grab/Isco,2023-02-10 10:00:00,0.450085108256365,0.466747229980377,0.083167661763258,1
RI23-1007,Hungerford,Grab/Isco,2023-02-10 16:00:00,9.99200722162641E-16,0.272997498512268,0.727002501487731,1
RI23-1008,Hungerford,Grab/Isco,2023-02-11 12:30:00,0.063693021432492,0.797435182567322,0.138871796000186,1
RI23-1027,Hungerford,Grab/Isco,2023-02-16 10:30:00,0.110334101567175,0.889665898432824,1.41673497516912E-15,1
RI23-1033,Hungerford,Grab/Isco,2023-02-17 13:30:00,0.0934186366880088,0.417635790510789,0.488945572801202,1
RI23-1002,Hungerford,Grab/Isco,2023-02-09 16:00:00,1,-5.55111512312578E-17,-1.27675647831893E-15,1
RI23-1003,Hungerford,Grab/Isco,2023-02-09 22:00:00,0.999999999999996,2.72004641033163E-15,1.49880108324396E-15,1
RI23-1035,Hungerford,Baseflow,2023-03-22 15:00:00,0.999999999999998,1.94289029309402E-15,-1.66533453693773E-16,1
RI23-1036,Hungerford,Grab/Isco,2023-03-22 18:00:00,0.965690960916379,6.60440131072247E-16,0.0343090390836201,1
RI23-1037,Hungerford,Grab/Isco,2023-03-23 00:00:00,0.42988107768723,-1.08246938389127E-15,0.570118922312771,1
RI23-1038,Hungerford,Grab/Isco,2023-03-23 06:00:00,0.48110916487448,-6.17769357504632E-15,0.518890835125526,1
RI23-1042,Hungerford,Grab/Isco,2023-03-23 12:00:00,0.650246748382068,0.08658475665577,0.263168494962162,1
RI23-1043,Hungerford,Grab/Isco,2023-03-23 18:00:00,0.172127735946599,0.209110702440553,0.618761561612848,1
RI23-1044,Hungerford,Grab/Isco,2023-03-24 00:00:00,-1.48020139410264E-12,0.413518855206458,0.586481144795022,1
RI23-1045,Hungerford,Grab/Isco,2023-03-24 06:00:00,2.4669327094032E-14,0.878319212258903,0.121680787741073,1
RI23-1046,Hungerford,Grab/Isco,2023-03-24 12:00:00,-6.00912541295258E-16,0.778649029955672,0.221350970044329,1
RI23-1047,Hungerford,Grab/Isco,2023-03-24 15:45:00,-3.4094985056824E-15,0.754768163460603,0.245231836539401,1
RI23-1085,Hungerford,Baseflow,2023-03-31 14:00:00,0.39207611589121,0.324038447410607,0.283885436698182,1
RI23-1086,Hungerford,Grab/Isco,2023-03-31 20:00:00,0.29317326409019,0.272089653783711,0.434737082126099,1
RI23-1087,Hungerford,Grab/Isco,2023-04-01 02:00:00,0.335631112279771,0.137854349871704,0.526514537848524,1
RI23-1088,Hungerford,Grab/Isco,2023-04-01 08:00:00,0.374000766047869,0.101631158753168,0.524368075198963,1
RI23-1089,Hungerford,Grab/Isco,2023-04-01 14:00:00,0.301939705247243,0.383905802468759,0.314154492283999,1
RI23-1099,Hungerford,Grab/Isco,2023-04-11 13:30:00,0.30511557911643,-1.22193921647806E-14,0.694884420883583,1
RI23-1091,Hungerford,Grab/Isco,2023-04-02 02:00:00,-6.15456319053114E-14,0.576962925016863,0.423037074983199,1
