Sample ID,Datetime,Site,Baseflow,Snowmelt lysimeter,Soil water lysimeter,Sum_Fractions,Baseflow_Uncertainty_95sig,Snowmelt lysimeter_Uncertainty_95sig,Soil water lysimeter_Uncertainty_95sig
RI23-1035,2023-03-22 15:00:00,Hungerford,0.9999999999999847,7.16093850883226e-15,8.1601392309949e-15,1.0,0.6771340332277614,0.3602174580702379,0.573964974634925
RI23-1036,2023-03-22 18:00:00,Hungerford,0.9303230593323643,0.0696769406676357,0.0,1.0,1.1097671736919843,3.2563366831457996e-06,1.1097663816246246
RI23-1037,2023-03-23 00:00:00,Hungerford,0.6665755387369202,1.0436861816680534e-14,0.33342446126306924,0.9999999999999999,0.6801864523355747,0.6801864817637095,5.482804293049686e-08
RI23-1038,2023-03-23 06:00:00,Hungerford,0.6763902605726778,6.398332401580056e-14,0.3236097394272583,1.0,1.1079996908353469,2.4405928579570086,3.232344163898063
RI23-1042,2023-03-23 12:00:00,Hungerford,0.7306778444460202,0.023376857737786055,0.24594529781619368,1.0,1.155190175248184,2.605853376799374,3.4100268731931203
RI23-1043,2023-03-23 18:00:00,Hungerford,0.6632855856028411,0.28453883116570394,0.05217558323145491,0.9999999999999999,0.908766629853362,2.1125593717704745,2.779463715308569
RI23-1044,2023-03-24 00:00:00,Hungerford,0.39573376477325073,0.6042662352267493,0.0,1.0,0.6725397651040051,1.5347420959760072,2.05687653742196
RI23-1045,2023-03-24 06:00:00,Hungerford,0.47625697083306734,0.4784051527061525,0.04533787646078016,1.0,0.7873173329463705,1.9231825849321564,2.5962196448372126
RI23-1046,2023-03-24 12:00:00,Hungerford,0.4703538632013032,0.38386999447481074,0.14577614232388605,0.9999999999999999,0.7837572778012892,1.9027078031446478,2.544734649682947
RI23-1047,2023-03-24 15:45:00,Hungerford,0.599256485312808,0.35128340893732696,0.04946010574986517,1.0,0.7344070642253394,1.698872920182294,2.2661703770053667
