Sample ID,Datetime,Site,Baseflow,Snowmelt lysimeter,Soil water lysimeter,Sum_Fractions,Baseflow_Uncertainty_70sig,Snowmelt lysimeter_Uncertainty_70sig,Soil water lysimeter_Uncertainty_70sig
RI23-1035,2023-03-22 15:00:00,Hungerford,0.9999999999999847,7.16093850883226e-15,8.1601392309949e-15,1.0,0.1046085581005592,0.055640136768361784,0.08867600590624822
RI23-1036,2023-03-22 18:00:00,Hungerford,0.9303230593323643,0.0696769406676357,0.0,1.0,0.1714449381767143,5.031090893359923e-07,0.17144481595788533
RI23-1037,2023-03-23 00:00:00,Hungerford,0.6665755387369202,1.0436861816680534e-14,0.33342446126306924,0.9999999999999999,0.1050735499821305,0.10507355452743597,8.475462891646498e-09
RI23-1038,2023-03-23 06:00:00,Hungerford,0.6763902605726778,6.398332401580056e-14,0.3236097394272583,1.0,0.17127229877771286,0.37721854587227405,0.49966863709165205
RI23-1042,2023-03-23 12:00:00,Hungerford,0.7306778444460202,0.023376857737786055,0.24594529781619368,1.0,0.17854899620025885,0.402730298082103,0.5270862219000065
RI23-1043,2023-03-23 18:00:00,Hungerford,0.6632855856028411,0.28453883116570394,0.05217558323145491,0.9999999999999999,0.1405181030516586,0.3265893377844052,0.4297735361610831
RI23-1044,2023-03-24 00:00:00,Hungerford,0.39573376477325073,0.6042662352267493,0.0,1.0,0.10408258194231723,0.23744431756938333,0.31832080382983025
RI23-1045,2023-03-24 06:00:00,Hungerford,0.47625697083306734,0.4784051527061525,0.04533787646078016,1.0,0.12178474424781197,0.29737244855646144,0.4015115102345641
RI23-1046,2023-03-24 12:00:00,Hungerford,0.4703538632013032,0.38386999447481074,0.14577614232388605,0.9999999999999999,0.12123203696407774,0.29420494885084736,0.39355649755969213
RI23-1047,2023-03-24 15:45:00,Hungerford,0.599256485312808,0.35128340893732696,0.04946010574986517,1.0,0.11362602787438944,0.26277039096964205,0.3506090215160071
