Sample ID,Site,Type,Datetime,Soil water lysimeter,Groundwater,Snowmelt lysimeter,Sum Fractions
RI23-1005,Hungerford,Grab/Isco,2023-02-10 10:00:00,0.502871967420636,0.400580720746599,0.0965473118327648,1
RI23-1007,Hungerford,Grab/Isco,2023-02-10 16:00:00,-1.11022302462516E-15,2.99760216648792E-15,0.999999999999998,1
RI23-1008,Hungerford,Grab/Isco,2023-02-11 12:30:00,0.749922208204394,6.68959666196797E-17,0.250077791795606,1
RI23-1027,Hungerford,Grab/Isco,2023-02-16 10:30:00,0.898812735628781,0.000800834825662643,0.100386429545556,1
RI23-1033,Hungerford,Grab/Isco,2023-02-17 13:30:00,0.366087578412785,0.105890232634809,0.528022188952407,1
RI23-1002,Hungerford,Grab/Isco,2023-02-09 16:00:00,6.10622663543836E-16,1,-4.27435864480685E-15,1
RI23-1003,Hungerford,Grab/Isco,2023-02-09 22:00:00,3.33066907387547E-16,0.999999999999998,1.66533453693773E-15,1
RI23-1035,Hungerford,Baseflow,2023-03-22 15:00:00,1.38777878078145E-15,1,-1.72084568816899E-15,1
RI23-1036,Hungerford,Grab/Isco,2023-03-22 18:00:00,1.55431223447522E-15,0.999999999999997,1.60982338570648E-15,1
RI23-1037,Hungerford,Grab/Isco,2023-03-23 00:00:00,2.80945936760111E-15,0.502134885622042,0.497865114377955,1
RI23-1038,Hungerford,Grab/Isco,2023-03-23 06:00:00,-2.13640187830982E-15,0.555608157856615,0.444391842143387,1
RI23-1042,Hungerford,Grab/Isco,2023-03-23 12:00:00,0.146109056730495,0.667483862172458,0.186407081097047,1
RI23-1043,Hungerford,Grab/Isco,2023-03-23 18:00:00,0.163027824452681,0.225544197701696,0.611427977845622,1
RI23-1044,Hungerford,Grab/Isco,2023-03-24 00:00:00,0.140793964056444,7.70981585865305E-15,0.859206035943548,1
RI23-1045,Hungerford,Grab/Isco,2023-03-24 06:00:00,0.623689466928081,-2.23894253831292E-14,0.376310533071941,1
RI23-1046,Hungerford,Grab/Isco,2023-03-24 12:00:00,0.605915531000908,5.72241906637849E-15,0.394084468999087,1
RI23-1047,Hungerford,Grab/Isco,2023-03-24 15:45:00,0.638687571461607,-2.15624680250804E-15,0.361312428538395,1
RI23-1085,Hungerford,Baseflow,2023-03-31 14:00:00,0.337378511468337,0.386196670556047,0.276424817975616,1
RI23-1086,Hungerford,Grab/Isco,2023-03-31 20:00:00,0.258691191027623,0.314024713682403,0.427284095289974,1
RI23-1087,Hungerford,Grab/Isco,2023-04-01 02:00:00,0.126027630349157,0.383985492236687,0.489986877414156,1
RI23-1088,Hungerford,Grab/Isco,2023-04-01 08:00:00,0.096610210363871,0.426021873533986,0.477367916102143,1
RI23-1089,Hungerford,Grab/Isco,2023-04-01 14:00:00,0.379662985632193,0.293725928119268,0.326611086248539,1
RI23-1099,Hungerford,Grab/Isco,2023-04-11 13:30:00,-6.37783663300056E-14,0.413846503510732,0.586153496489332,1
RI23-1091,Hungerford,Grab/Isco,2023-04-02 02:00:00,0.456671944101331,2.43240757397123E-15,0.543328055898667,1
