Catchment,Event typeÿ,Event start,Eventÿend,Event duration [hrs]ÿ,Water yield [mm]ÿ,Nitrate yield [kg NO3-Nÿkm-2/ mm water yield]ÿ,Total phosphorus yield [kg P km-2/ mm water yield],DOC yield [kg DOC km-2/ mm water yield],Event total baseflow [%]ÿ,Event total soil water [%]ÿ,Event totalÿmeltwaterÿ[%]ÿ
Hungerfordÿ,ROSÿ,02/9/2023 5:15ÿ,02/19/2023 4:00ÿ,236.75,56.9,3.7,0.11,7,35.4,31.5,33.1
Hungerfordÿ,Thermalÿ,03/21/2023 6:00ÿ,03/23/2023 23:30ÿ,64,14,3.95,0.18,11.01,36.9,25.5,37.6
Hungerfordÿ,Final spring meltÿ,03/31/2023 6:00ÿ,04/11/2023 17:15ÿ,272.75,49.7,2.28,0.29,6.62,35.2,32.6,32.2
Wadeÿ,ROSÿ,02/9/2023 5:15ÿ,02/19/2023 4:00ÿ,236.75,59.1,0.28,0.01,2.14,64,0,35.9
Wadeÿ,Thermalÿ,03/21/2023 6:00ÿ,03/27/2023 3:45ÿ,139.75,30.5,0.3,0.01,2.29,58.8,34.1,7.1
Wadeÿ,Final spring meltÿ,03/31/2023 6:00ÿ,04/12/2023 6:00ÿ,285.25,120.9,0.32,0.01,2.91,21.3,36.8,41.9
